"Publisher","ISSN","eISSN","JIF","Publication Year"
"ROYAL SOC CHEMISTRY","1473-0197","1473-0189",6.774,2019
"ROYAL SOC CHEMISTRY","1473-0197","1473-0189",6.774,2019
"ELSEVIER","0165-0327","1573-2517",3.892,2019
"ELSEVIER","0165-0327","1573-2517",3.892,2019
"ELSEVIER","0165-0327","1573-2517",3.892,2019
"SPRINGER","0029-8549","1432-1939",2.654,2019
"OXFORD UNIV PRESS","0305-7453","1460-2091",5.439,2019
"OXFORD UNIV PRESS","0305-7453","1460-2091",5.439,2019
"OXFORD UNIV PRESS","0305-7453","1460-2091",5.439,2019
"LIPPINCOTT WILLIAMS & WILKINS","0002-9270","1572-0241",10.171,2019
"LIPPINCOTT WILLIAMS & WILKINS","1079-5642","1524-4636",6.604,2019
"LIPPINCOTT WILLIAMS & WILKINS","1079-5642","1524-4636",6.604,2019
"ELSEVIER","0963-9969","1873-7145",4.972,2019
"PUBLIC LIBRARY SCIENCE","1549-1277","1549-1676",10.5,2019
"ELSEVIER SCI LTD","0006-3207","1873-2917",4.711,2019
"ELSEVIER SCI LTD","0006-3207","1873-2917",4.711,2019
"ELSEVIER SCI LTD","0006-3207","1873-2917",4.711,2019
"ELSEVIER SCI LTD","0959-8049","1879-0852",7.275,2019
"AMER ROENTGEN RAY SOC","0361-803X","1546-3141",3.013,2019
"WILEY","0740-3194","1522-2594",3.635,2019
"WILEY","0014-3820","1558-5646",3.698,2019
"WILEY","0014-3820","1558-5646",3.698,2019
"WILEY","0014-3820","1558-5646",3.698,2019
"MDPI","N/A","2072-6643",4.546,2019
"NATURE PUBLISHING GROUP","1740-1526","1740-1534",34.209,2019
"SAGE PUBLICATIONS INC","0956-7976","1467-9280",5.367,2019
"MDPI","1661-7827","1660-4601",2.849,2019
"MDPI","1661-7827","1660-4601",2.849,2019
"MDPI","1661-7827","1660-4601",2.849,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0031-9422","1873-3700",3.044,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0031-9422","1873-3700",3.044,2019
"MOSBY-ELSEVIER","0022-3476","1097-6833",3.7,2019
"SPRINGER","0167-4544","1573-0697",4.141,2019
"SPRINGER","0167-4544","1573-0697",4.141,2019
"ELSEVIER","0032-5910","1873-328X",4.142,2019
"ELSEVIER","0014-2999","1879-0712",3.263,2019
"ELSEVIER","0927-0248","1879-3398",6.984,2019
"ELSEVIER","0927-0248","1879-3398",6.984,2019
"ELSEVIER","0927-0248","1879-3398",6.984,2019
"PUBLIC LIBRARY SCIENCE","1544-9173","1545-7885",7.076,2019
"PUBLIC LIBRARY SCIENCE","1544-9173","1545-7885",7.076,2019
"ELSEVIER","0927-7765","1873-4367",4.389,2019
"ELSEVIER","0927-7765","1873-4367",4.389,2019
"ELSEVIER","0927-7765","1873-4367",4.389,2019
"OXFORD UNIV PRESS","0268-1161","1460-2350",5.733,2019
"OXFORD UNIV PRESS","0268-1161","1460-2350",5.733,2019
"ELSEVIER SCIENCE SA","0043-1648","1873-2577",4.108,2019
"ELSEVIER SCIENCE SA","0043-1648","1873-2577",4.108,2019
"OXFORD UNIV PRESS INC","0021-8812","1525-3163",2.092,2019
"ELSEVIER","0378-4371","1873-2119",2.924,2019
"ROYAL SOC CHEMISTRY","0003-2654","1364-5528",3.978,2019
"ROYAL SOC CHEMISTRY","1144-0546","1369-9261",3.288,2019
"ELSEVIER","0023-6438","1096-1127",4.006,2019
"ELSEVIER","0022-3115","1873-4820",2.485,2019
"ELSEVIER","0022-3115","1873-4820",2.485,2019
"PERGAMON-ELSEVIER SCIENCE LTD","1386-1425","1873-3557",3.232,2019
"ELSEVIER IRELAND LTD","0167-5273","1874-1754",3.229,2019
"SPRINGER HEIDELBERG","1618-2642","1618-2650",3.637,2019
"SPRINGER HEIDELBERG","1618-2642","1618-2650",3.637,2019
"SPRINGER","0012-186X","1432-0428",7.518,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9545","1939-9359",5.379,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9545","1939-9359",5.379,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9545","1939-9359",5.379,2019
"ELSEVIER SCIENCE INC","0096-3003","1873-5649",3.472,2019
"AMER CHEMICAL SOC","1528-7483","1528-7505",4.089,2019
"AMER CHEMICAL SOC","1528-7483","1528-7505",4.089,2019
"AMER CHEMICAL SOC","1528-7483","1528-7505",4.089,2019
"WILEY","0009-3920","1467-8624",4.891,2019
"WILEY","0009-3920","1467-8624",4.891,2019
"OXFORD UNIV PRESS INC","1047-3211","1460-2199",5.043,2019
"CENTERS DISEASE CONTROL & PREVENTION","1080-6040","1080-6059",6.259,2019
"CENTERS DISEASE CONTROL & PREVENTION","1080-6040","1080-6059",6.259,2019
"MOSBY-ELSEVIER","0190-9622","1097-6787",8.277,2019
"AMER METEOROLOGICAL SOC","0027-0644","1520-0493",3.435,2019
"BMJ PUBLISHING GROUP","0022-3050","1468-330X",8.263,2019
"BMJ PUBLISHING GROUP","0022-3050","1468-330X",8.263,2019
"BMJ PUBLISHING GROUP","0022-3050","1468-330X",8.263,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0956-053X","1879-2456",5.448,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0956-053X","1879-2456",5.448,2019
"ELSEVIER SCIENCE SA","0254-0584","1879-3312",3.408,2019
"ELSEVIER SCI LTD","0141-0296","1873-7323",3.548,2019
"IOP PUBLISHING LTD","1367-2630","1367-2630",3.539,2019
"ELSEVIER SCIENCE INC","0022-202X","1523-1747",7.143,2019
"SPRINGER","1073-5623","1543-1940",2.05,2019
"SPRINGER","1073-5623","1543-1940",2.05,2019
"AMER INST PHYSICS","0034-6748","1089-7623",1.48,2019
"AMER INST PHYSICS","0034-6748","1089-7623",1.48,2019
"ELSEVIER SCI LTD","0268-005X","1873-7137",7.053,2019
"ELSEVIER SCI LTD","0268-005X","1873-7137",7.053,2019
"AMER METEOROLOGICAL SOC","0022-4928","1520-0469",3.194,2019
"BMC","N/A","1471-2407",3.15,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0968-0896","1464-3391",3.073,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0968-0896","1464-3391",3.073,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0968-0896","1464-3391",3.073,2019
"OXFORD UNIV PRESS INC","0148-396X","1524-4040",4.853,2019
"OXFORD UNIV PRESS INC","0148-396X","1524-4040",4.853,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0747-5632","1873-7692",5.003,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0747-5632","1873-7692",5.003,2019
"AMER SOC CELL BIOLOGY","1059-1524","1939-4586",3.791,2019
"MDPI","N/A","1996-1073",2.702,2019
"OXFORD UNIV PRESS INC","0033-5533","1531-4650",11.375,2019
"SPRINGER","1068-9265","1534-4681",4.061,2019
"SPRINGER","1068-9265","1534-4681",4.061,2019
"AMER PSYCHOLOGICAL ASSOC","0033-295X","1939-1471",6.844,2019
"AMER PSYCHOLOGICAL ASSOC","0033-295X","1939-1471",6.844,2019
"ELSEVIER","0040-1951","1879-3266",3.048,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0160-4120","1873-6750",7.577,2019
"CELL PRESS","1534-5807","1878-1551",10.092,2019
"CELL PRESS","1534-5807","1878-1551",10.092,2019
"WILEY","0024-3590","1939-5590",3.778,2019
"WILEY","0024-3590","1939-5590",3.778,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1536-1276","1558-2248",6.779,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1536-1276","1558-2248",6.779,2019
"ELSEVIER","0926-6690","1872-633X",4.244,2019
"ELSEVIER","0926-6690","1872-633X",4.244,2019
"PUBLIC LIBRARY SCIENCE","1553-734X","1553-7358",4.7,2019
"PUBLIC LIBRARY SCIENCE","1553-734X","1553-7358",4.7,2019
"MDPI","N/A","1996-1944",3.057,2019
"ELSEVIER SCIENCE INC","0010-2180","1556-2921",4.57,2019
"ELSEVIER SCIENCE INC","0010-2180","1556-2921",4.57,2019
"ELSEVIER SCIENCE INC","0010-2180","1556-2921",4.57,2019
"ELSEVIER SCIENCE INC","0010-2180","1556-2921",4.57,2019
"ELSEVIER SCIENCE INC","0010-2180","1556-2921",4.57,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0278-6915","1873-6351",4.679,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0278-6915","1873-6351",4.679,2019
"WILEY","0021-9967","1096-9861",2.801,2019
"WILEY","0021-9967","1096-9861",2.801,2019
"ELSEVIER SCIENCE SA","1572-6657","1873-2569",3.807,2019
"ELSEVIER SCIENCE SA","1572-6657","1873-2569",3.807,2019
"ELSEVIER SCI LTD","0021-9290","1873-2380",2.32,2019
"ELSEVIER SCI LTD","0021-9290","1873-2380",2.32,2019
"UNIV CHICAGO PRESS","0003-0147","1537-5323",3.744,2019
"UNIV CHICAGO PRESS","0003-0147","1537-5323",3.744,2019
"IOP PUBLISHING LTD","0067-0049","1538-4365",7.95,2019
"ELSEVIER SCI LTD","0260-8774","1873-5770",4.499,2019
"ELSEVIER SCI LTD","0260-8774","1873-5770",4.499,2019
"ELSEVIER SCI LTD","0955-2219","1873-619X",4.495,2019
"ELSEVIER SCIENCE INC","0148-2963","1873-7978",4.874,2019
"ELSEVIER SCIENCE INC","0895-4356","1878-5921",4.952,2019
"ELSEVIER SCIENCE INC","0895-4356","1878-5921",4.952,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0149-7634","1873-7528",8.329,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0149-7634","1873-7528",8.329,2019
"ELSEVIER","0370-1573","1873-6270",25.809,2019
"ELSEVIER SCI LTD","0031-3203","1873-5142",7.196,2019
"ELSEVIER SCI LTD","0031-3203","1873-5142",7.196,2019
"AMER PHYSIOLOGICAL SOC","0031-9333","1522-1210",25.588,2019
"AMER INST PHYSICS","1070-664X","1089-7674",1.83,2019
"ROYAL SOC CHEMISTRY","1466-8033","1466-8033",3.117,2019
"ROYAL SOC CHEMISTRY","1466-8033","1466-8033",3.117,2019
"WILEY","0001-1541","1547-5905",3.519,2019
"CAMBRIDGE UNIV PRESS","0007-1145","1475-2662",3.334,2019
"MOSBY-ELSEVIER","0022-5223","1097-685X",4.451,2019
"MOSBY-ELSEVIER","0022-5223","1097-685X",4.451,2019
"MOSBY-ELSEVIER","0022-5223","1097-685X",4.451,2019
"WILEY","0007-0963","1365-2133",7,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0360-1323","1873-684X",4.971,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0360-1323","1873-684X",4.971,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0360-1323","1873-684X",4.971,2019
"MICROTOME PUBL","1532-4435","N/A",3.484,2019
"MICROTOME PUBL","1532-4435","N/A",3.484,2019
"ELSEVIER","0378-1119","1879-0038",2.984,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0006-2952","1873-2968",4.96,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2162-237X","2162-2388",8.793,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2162-237X","2162-2388",8.793,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2162-237X","2162-2388",8.793,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2162-237X","2162-2388",8.793,2019
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0012-1606","1095-564X",2.896,2019
"ELSEVIER","1387-1811","1873-3093",4.551,2019
"ELSEVIER","1387-1811","1873-3093",4.551,2019
"ELSEVIER","1387-1811","1873-3093",4.551,2019
"ELSEVIER","1387-1811","1873-3093",4.551,2019
"LIPPINCOTT WILLIAMS & WILKINS","0003-3022","1528-1175",7.067,2019
"ELSEVIER SCIENCE LONDON","1364-6613","1879-307X",15.218,2019
"ELSEVIER SCIENCE LONDON","1364-6613","1879-307X",15.218,2019
"ELSEVIER SCIENCE LONDON","1364-6613","1879-307X",15.218,2019
"WILEY","0885-3185","1531-8257",8.679,2019
"INT UNION CRYSTALLOGRAPHY","0021-8898","1600-5767",2.995,2019
"INT UNION CRYSTALLOGRAPHY","0021-8898","1600-5767",2.995,2019
"WILEY-V C H VERLAG GMBH","1864-5631","1864-564X",7.962,2019
"WILEY-V C H VERLAG GMBH","1864-5631","1864-564X",7.962,2019
"OXFORD UNIV PRESS","0956-540X","1365-246X",2.574,2019
"PUBLIC LIBRARY SCIENCE","1935-2735","1935-2735",3.885,2019
"PUBLIC LIBRARY SCIENCE","1935-2735","1935-2735",3.885,2019
"AMER CHEMICAL SOC","0163-3864","1520-6025",3.782,2019
"AMER CHEMICAL SOC","0163-3864","1520-6025",3.782,2019
"AMER CHEMICAL SOC","0163-3864","1520-6025",3.782,2019
"AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS","0022-3565","1521-0103",3.561,2019
"ELSEVIER SCI LTD","1359-835X","1878-5840",6.444,2019
"ELSEVIER SCI LTD","1359-835X","1878-5840",6.444,2019
"NATURE PUBLISHING GROUP","1545-9993","1545-9985",11.98,2019
"NATURE PUBLISHING GROUP","1545-9993","1545-9985",11.98,2019
"NATURE PUBLISHING GROUP","1545-9993","1545-9985",11.98,2019
"ELSEVIER","0375-9601","1873-2429",2.278,2019
"NATURE PUBLISHING GROUP","1758-678X","1758-6798",20.893,2019
"NATURE PUBLISHING GROUP","1758-678X","1758-6798",20.893,2019
"NATURE PUBLISHING GROUP","1758-678X","1758-6798",20.893,2019
"OXFORD UNIV PRESS INC","0009-9147","1530-8561",7.292,2019
"AMER PSYCHOLOGICAL ASSOC","0003-066X","1935-990X",6.536,2019
"SAGE PUBLICATIONS INC","0022-2429","1547-7185",5.266,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0020-7683","1879-2146",3.213,2019
"CENTERS DISEASE CONTROL & PREVENTION","0149-2195","1545-861X",13.606,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0079-6700","1873-1619",22.62,2019
"ELSEVIER","0022-3093","1873-4812",2.929,2019
"ELSEVIER","0022-3093","1873-4812",2.929,2019
"SOC NUCLEAR MEDICINE INC","0161-5505","1535-5667",7.887,2019
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0147-6513","1090-2414",4.872,2019
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0147-6513","1090-2414",4.872,2019
"ELSEVIER","0016-7061","1872-6259",4.848,2019
"ELSEVIER","0921-8009","1873-6106",4.482,2019
"ELSEVIER","0921-8009","1873-6106",4.482,2019
"ELSEVIER","0921-8009","1873-6106",4.482,2019
"ELSEVIER","0921-8009","1873-6106",4.482,2019
"CAMBRIDGE UNIV PRESS","0033-2917","1469-8978",5.811,2019
"CAMBRIDGE UNIV PRESS","0033-2917","1469-8978",5.811,2019
"CAMBRIDGE UNIV PRESS","0033-2917","1469-8978",5.811,2019
"CAMBRIDGE UNIV PRESS","0033-2917","1469-8978",5.811,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1949-3053","1949-3061",8.267,2019
"WILEY","0022-1147","1750-3841",2.479,2019
"IOP PUBLISHING LTD","0031-9155","1361-6560",2.883,2019
"IOP PUBLISHING LTD","0031-9155","1361-6560",2.883,2019
"NATURE PUBLISHING GROUP","1752-0894","1752-0908",13.566,2019
"WILEY","0013-9580","1528-1167",6.04,2019
"LIPPINCOTT WILLIAMS & WILKINS","0003-2999","0003-2999",4.305,2019
"MOSBY-ELSEVIER","0741-5214","1097-6809",3.405,2019
"MOSBY-ELSEVIER","0741-5214","1097-6809",3.405,2019
"NATURE PUBLISHING GROUP","1751-7362","1751-7370",9.18,2019
"NATURE PUBLISHING GROUP","1751-7362","1751-7370",9.18,2019
"ELSEVIER","0168-1605","1879-3460",4.187,2019
"ELSEVIER","0168-1605","1879-3460",4.187,2019
"WILEY","0884-0431","1523-4681",5.854,2019
"CELL PRESS","1934-5909","1875-9777",20.86,2019
"CELL PRESS","1934-5909","1875-9777",20.86,2019
"WILEY","0021-9541","1097-4652",5.546,2019
"WILEY","0021-9541","1097-4652",5.546,2019
"WILEY","0094-2405","2473-4209",3.317,2019
"WILEY","0277-6715","1097-0258",1.783,2019
"WILEY","0277-6715","1097-0258",1.783,2019
"WILEY","0277-6715","1097-0258",1.783,2019
"WILEY","0277-6715","1097-0258",1.783,2019
"WILEY","0277-6715","1097-0258",1.783,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0191-8869","1873-3549",2.31,2019
"ELSEVIER","0166-4328","1872-7549",2.977,2019
"ELSEVIER","0166-4328","1872-7549",2.977,2019
"NATURE PUBLISHING GROUP","0893-133X","1740-634X",6.751,2019
"NATURE PUBLISHING GROUP","0893-133X","1740-634X",6.751,2019
"NATURE PUBLISHING GROUP","0893-133X","1740-634X",6.751,2019
"NATURE PUBLISHING GROUP","2041-4889","2041-4889",6.304,2019
"IOP PUBLISHING LTD","1475-7516","1475-7516",5.21,2019
"IOP PUBLISHING LTD","1475-7516","1475-7516",5.21,2019
"SPRINGER BASEL AG","1420-682X","1420-9071",6.496,2019
"SPRINGER BASEL AG","1420-682X","1420-9071",6.496,2019
"AMER PHYSIOLOGICAL SOC","0363-6135","1522-1539",3.864,2019
"AMER PHYSIOLOGICAL SOC","0363-6135","1522-1539",3.864,2019
"AMER PHYSIOLOGICAL SOC","0363-6135","1522-1539",3.864,2019
"SOC EXPLORATION GEOPHYSICISTS","0016-8033","1942-2156",2.609,2019
"UNIV CHICAGO PRESS","0022-3808","1537-534X",5.504,2019
"ELSEVIER SCI LTD","0261-5177","1879-3193",7.432,2019
"ELSEVIER SCI LTD","0261-5177","1879-3193",7.432,2019
"ELSEVIER SCI LTD","0261-5177","1879-3193",7.432,2019
"WILEY","0140-7791","1365-3040",6.362,2019
"ELSEVIER SCIENCE INC","0002-9394","1879-1891",4.013,2019
"NATURE PUBLISHING GROUP","0887-6924","1476-5551",8.665,2019
"NATURE PUBLISHING GROUP","0887-6924","1476-5551",8.665,2019
"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0003-3472","1095-8282",2.689,2019
"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0003-3472","1095-8282",2.689,2019
"WILEY","1600-6135","1600-6143",7.338,2019
"WILEY","1600-6135","1600-6143",7.338,2019
"WILEY-V C H VERLAG GMBH","1615-4150","1615-4169",5.851,2019
"WILEY-V C H VERLAG GMBH","1615-4150","1615-4169",5.851,2019
"WILEY","1369-7412","1467-9868",3.965,2019
"ROYAL SOC CHEMISTRY","2050-750X","2050-7518",5.344,2019
"ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","0753-3322","1950-6007",4.545,2019
"ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","0753-3322","1950-6007",4.545,2019
"JOURNAL STATISTICAL SOFTWARE","1548-7660","1548-7660",13.642,2019
"JOURNAL STATISTICAL SOFTWARE","1548-7660","1548-7660",13.642,2019
"WILEY","0022-5142","1097-0010",2.614,2019
"WILEY","0022-5142","1097-0010",2.614,2019
"WILEY","0022-5142","1097-0010",2.614,2019
"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0888-3270","1096-1216",6.471,2019
"OXFORD UNIV PRESS","0032-5791","1525-3171",2.659,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9464","1941-0069",1.626,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9464","1941-0069",1.626,2019
"SPRINGER","0018-8158","1573-5117",2.385,2019
"ELSEVIER","0022-0248","1873-5002",1.632,2019
"ELSEVIER","0022-0248","1873-5002",1.632,2019
"ELSEVIER","0022-0248","1873-5002",1.632,2019
"ELSEVIER SCI LTD","1473-3099","1474-4457",24.446,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0028-3932","1873-3514",2.652,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0028-3932","1873-3514",2.652,2019
"PERGAMON-ELSEVIER SCIENCE LTD","0028-3932","1873-3514",2.652,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0733-8724","1558-2213",4.288,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0733-8724","1558-2213",4.288,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0733-8724","1558-2213",4.288,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0163-6804","1558-1896",11.052,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0163-6804","1558-1896",11.052,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9480","1557-9670",3.413,2019
"ELSEVIER SCIENCE INC","0002-9343","1555-7162",4.529,2019
"ELSEVIER","0168-9002","1872-9576",1.265,2019
"ELSEVIER","0168-9002","1872-9576",1.265,2019
"ELSEVIER","0168-9002","1872-9576",1.265,2019
"ELSEVIER","0168-9002","1872-9576",1.265,2019
"OXFORD UNIV PRESS","0300-5771","1464-3685",7.707,2019
"OXFORD UNIV PRESS","0931-0509","1460-2385",4.531,2019
"OXFORD UNIV PRESS","0931-0509","1460-2385",4.531,2019
"ELSEVIER","0048-7333","1873-7625",5.351,2019
"AMER METEOROLOGICAL SOC","0003-0007","1520-0477",9.384,2019
"ELSEVIER","0031-0182","1872-616X",2.833,2019
"ELSEVIER","0031-0182","1872-616X",2.833,2019
"ELSEVIER","0031-0182","1872-616X",2.833,2019
"WILEY","0953-816X","1460-9568",3.115,2019
"WILEY","0361-5995","1435-0661",2.311,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9383","1557-9646",2.913,2019
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9383","1557-9646",2.913,2019
"WILEY","0006-3592","1097-0290",4.002,2019
"TAYLOR & FRANCIS LTD","0143-1161","1366-5901",2.976,2019
"TAYLOR & FRANCIS LTD","0143-1161","1366-5901",2.976,2019
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0042-6822","1089-862X",2.819,2019
"ELSEVIER SCIENCE INC","0022-3549","1520-6017",2.997,2019
"ELSEVIER SCIENCE INC","0022-3549","1520-6017",2.997,2019
"ELSEVIER SCIENCE INC","0022-3549","1520-6017",2.997,2019
"ELSEVIER IRELAND LTD","0021-9150","1879-1484",3.919,2019
"ELSEVIER IRELAND LTD","0021-9150","1879-1484",3.919,2019
"LIPPINCOTT WILLIAMS & WILKINS","0041-1337","1534-6080",4.546,2019
"LIPPINCOTT WILLIAMS & WILKINS","0041-1337","1534-6080",4.546,2019
"LIPPINCOTT WILLIAMS & WILKINS","0041-1337","1534-6080",4.546,2019
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0076-6879","N/A",1.394,2019
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0076-6879","N/A",1.394,2019
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0019-1035","1090-2643",3.516,2019
"ELSEVIER","0167-2738","1872-7689",3.107,2019
"ELSEVIER","0167-2738","1872-7689",3.107,2019
"BMC","1466-609X","1466-609X",6.407,2019
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0090-8258","1095-6859",4.623,2019
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0090-8258","1095-6859",4.623,2019
"WILEY-V C H VERLAG GMBH","1434-193X","1099-0690",2.889,2019
"CAMBRIDGE UNIV PRESS","0007-1250","1472-1465",7.85,2019
"CAMBRIDGE UNIV PRESS","0007-1250","1472-1465",7.85,2019
"SAGE PUBLICATIONS INC","0361-1981","2169-4052",1.029,2019
"SAGE PUBLICATIONS INC","0361-1981","2169-4052",1.029,2019
"W B SAUNDERS CO-ELSEVIER INC","0003-9993","1532-821X",3.098,2019
"W B SAUNDERS CO-ELSEVIER INC","0003-9993","1532-821X",3.098,2019
"AMER SOC BIOCHEMISTRY MOLECULAR BIOLOGY INC","0022-2275","1539-7262",4.483,2019
"SAGE PUBLICATIONS INC","0149-2063","1557-1211",8.852,2019
"SAGE PUBLICATIONS INC","0149-2063","1557-1211",8.852,2019
"SAGE PUBLICATIONS INC","0149-2063","1557-1211",8.852,2019
"MICROBIOLOGY SOC","1466-5026","1466-5034",2.415,2019
"","","",NA,2019
"","","",NA,2019
"","","",NA,2019
"NATURE RESEARCH","0028-0836","1476-4687",49.962,2020
"PUBLIC LIBRARY SCIENCE","1932-6203","1932-6203",3.24,2020
"AMER ASSOC ADVANCEMENT SCIENCE","0036-8075","1095-9203",47.728,2020
"NATL ACAD SCIENCES","0027-8424","1091-6490",11.205,2020
"AMER CHEMICAL SOC","0002-7863","1520-5126",15.419,2020
"NATURE RESEARCH","2045-2322","2045-2322",4.38,2020
"AMER PHYSICAL SOC","0031-9007","1079-7114",9.161,2020
"MASSACHUSETTS MEDICAL SOC","0028-4793","1533-4406",91.253,2020
"NATURE RESEARCH","2041-1723","2041-1723",14.919,2020
"WILEY-V C H VERLAG GMBH","1433-7851","1521-3773",15.336,2020
"AMER PHYSICAL SOC","2469-9950","2469-9969",4.036,2020
"AMER PHYSICAL SOC","2469-9950","2469-9969",4.036,2020
"AMER PHYSICAL SOC","2469-9950","2469-9969",4.036,2020
"AMER SOC BIOCHEMISTRY MOLECULAR BIOLOGY INC","0021-9258","1083-351X",5.157,2020
"ELSEVIER SCIENCE INC","0140-6736","1474-547X",79.323,2020
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",30.849,2020
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",30.849,2020
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",30.849,2020
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",30.849,2020
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",30.849,2020
"WILEY-V C H VERLAG GMBH","0935-9648","1521-4095",30.849,2020
"CELL PRESS","0092-8674","1097-4172",41.584,2020
"CELL PRESS","0092-8674","1097-4172",41.584,2020
"IOP PUBLISHING LTD","0004-637X","1538-4357",5.877,2020
"AMER CHEMICAL SOC","1944-8244","1944-8252",9.229,2020
"AMER CHEMICAL SOC","1944-8244","1944-8252",9.229,2020
"OXFORD UNIV PRESS","0305-1048","1362-4962",16.971,2020
"AMER INST PHYSICS","0021-9606","1089-7690",3.488,2020
"AMER INST PHYSICS","0021-9606","1089-7690",3.488,2020
"AMER CHEMICAL SOC","0009-2665","1520-6890",60.622,2020
"AMER MEDICAL ASSOC","0098-7484","1538-3598",56.274,2020
"AMER INST PHYSICS","0003-6951","1077-3118",3.791,2020
"AMER CHEMICAL SOC","0013-936X","1520-5851",9.028,2020
"AMER CHEMICAL SOC","0013-936X","1520-5851",9.028,2020
"ROYAL SOC CHEMISTRY","1359-7345","1364-548X",6.222,2020
"ELSEVIER","0048-9697","1879-1026",7.963,2020
"AMER PHYSICAL SOC","2470-0010","2470-0029",5.296,2020
"AMER PHYSICAL SOC","2470-0010","2470-0029",5.296,2020
"AMER SOC HEMATOLOGY","0006-4971","1528-0020",23.629,2020
"AMER CHEMICAL SOC","1936-0851","1936-086X",15.881,2020
"AMER CHEMICAL SOC","1936-0851","1936-086X",15.881,2020
"AMER CHEMICAL SOC","1936-0851","1936-086X",15.881,2020
"AMER CHEMICAL SOC","1936-0851","1936-086X",15.881,2020
"ROYAL SOC CHEMISTRY","2050-7488","2050-7496",12.732,2020
"ROYAL SOC CHEMISTRY","2050-7488","2050-7496",12.732,2020
"ROYAL SOC CHEMISTRY","2050-7488","2050-7496",12.732,2020
"OXFORD UNIV PRESS","0035-8711","1365-2966",5.287,2020
