"Name","Web of Science Documents","% Docs Cited","Category Normalized Citation Impact","International Collaborations","Gold Documents","Domestic Collaborations","State or Province","Corresponding Author (2008-2024)","Times Cited without Self-Citations","H-Index without Self-Citations","Year"
"University of Bridgeport",86,72.09,0.880298837209302,19,32,14,"CONNECTICUT, USA",71,1742,18,2018
"Clark Atlanta University",72,65.28,1.26804583333333,19,7,17,"GEORGIA, USA",38,1575,18,2018
"Saint Xavier University",71,56.34,1.17104225352113,22,4,6,"ILLINOIS, USA",35,1096,18,2018
"University of Illinois Springfield",97,73.2,1.04168762886598,37,14,32,"ILLINOIS, USA",55,1286,18,2018
"Frostburg State University",56,71.43,0.998710714285714,29,8,14,"MARYLAND, USA",20,1552,18,2018
"University of Detroit Mercy",147,61.9,1.71620544217687,26,7,60,"MICHIGAN, USA",73,1125,18,2018
"Minnesota State University Mankato",149,65.1,0.994955704697987,26,4,59,"MINNESOTA, USA",78,1946,18,2018
"Saint Cloud State University",92,79.35,0.880035869565217,27,12,38,"MINNESOTA, USA",41,1244,18,2018
"University Nebraska Kearney",129,62.79,0.673626356589147,14,11,55,"NEBRASKA, USA",87,1250,18,2018
"Fayetteville State University",76,77.63,1.19094078947368,41,11,21,"NORTH CAROLINA, USA",35,1304,18,2018
"Western Carolina University",199,65.33,0.709179899497487,26,15,100,"NORTH CAROLINA, USA",125,1419,18,2018
"Lipscomb University",49,77.55,1.50954285714286,4,11,34,"TENNESSEE, USA",16,1383,18,2018
"Texas A&M University Commerce",119,72.27,1.07613781512605,36,12,44,"TEXAS, USA",52,1928,18,2018
"Texas Southern University",121,71.9,1.18252975206612,52,20,45,"TEXAS, USA",40,1518,18,2018
"University of Houston Downtown",103,77.67,0.818760194174757,23,12,44,"TEXAS, USA",61,989,18,2018
"Weber State University",123,63.41,0.774379674796748,16,8,52,"UTAH, USA",77,1428,18,2018
"Radford University",119,61.34,0.980241176470588,16,8,48,"VIRGINIA, USA",52,1309,18,2018
"Eastern Washington University",104,69.23,1.05144423076923,18,11,44,"WASHINGTON, USA",53,1432,18,2018
"Gonzaga University",145,55.17,0.595307586206897,34,12,46,"WASHINGTON, USA",86,1030,18,2018
"Bellevue Hospital Center",107,66.36,1.09827663551402,15,6,67,"NEW YORK, USA",47,2432,18,2018
"Los Angeles County+USC Medical Center",154,48.7,0.778459090909091,19,13,91,"CALIFORNIA, USA",50,1420,18,2018
"Rochester General Hospital",121,62.81,1.19433305785124,26,16,70,"NEW YORK, USA",29,1360,18,2018
"Shriners Hospitals Children Philadelphia",56,87.5,1.00991785714286,15,13,36,"PENNSYLVANIA, USA",20,1020,18,2018
"Oklahoma State University - Tulsa",55,85.45,0.951783636363636,13,3,31,"OKLAHOMA, USA",27,1203,18,2018
"Stetson University",111,60.36,0.989762162162162,20,7,36,"FLORIDA, USA",69,1318,18,2018
"Harvey Mudd College",118,64.41,1.18873813559322,20,11,61,"CALIFORNIA, USA",51,1300,18,2018
"UMass Chan Medical School",97,54.64,1.88369072164948,20,5,53,"MASSACHUSETTS, USA",24,1527,18,2018
"Alliant International University",65,86.15,1.14756923076923,14,1,30,"CALIFORNIA, USA",26,1034,17,2018
"California State University Stanislaus",91,67.03,0.654921978021978,22,9,36,"CALIFORNIA, USA",40,956,17,2018
"Delaware State University",104,62.5,0.682252884615385,24,18,46,"DELAWARE, USA",69,1815,17,2018
"Widener University",105,72.38,0.725077142857143,12,9,42,"PENNSYLVANIA, USA",64,976,17,2018
"Bradley University",138,59.42,1.09394275362319,15,5,58,"ILLINOIS, USA",91,1316,17,2018
"Indiana University South Bend",113,62.83,0.717579646017699,19,12,46,"INDIANA, USA",71,1078,17,2018
"University of Indianapolis",95,61.05,0.813343157894737,15,13,48,"INDIANA, USA",44,1050,17,2018
"Eastern Kentucky University",178,52.81,0.65583202247191,38,15,74,"KENTUCKY, USA",99,1255,17,2018
"Kentucky State University",53,75.47,0.975743396226415,20,13,17,"KENTUCKY, USA",10,946,17,2018
"Merrimack College",112,51.79,1.05124553571429,18,4,29,"MASSACHUSETTS, USA",73,878,17,2018
"Andrews University",52,76.92,1.50508269230769,24,7,15,"MICHIGAN, USA",17,1976,17,2018
"Saint Catherine University",93,66.67,0.914686021505376,10,6,51,"MINNESOTA, USA",47,856,17,2018
"Stockton University",117,62.39,0.713929914529915,31,12,36,"NEW JERSEY, USA",63,1035,17,2018
"State University of New York (SUNY) Brockport",174,67.24,1.0952816091954,35,18,73,"NEW YORK, USA",101,1339,17,2018
"La Salle University",98,51.02,2.31210408163265,25,6,21,"PENNSYLVANIA, USA",69,966,17,2018
"University of Scranton",134,60.45,1.03036492537313,14,10,53,"PENNSYLVANIA, USA",73,1459,17,2018
"West Chester University of Pennsylvania",163,65.64,0.555542944785276,22,15,85,"PENNSYLVANIA, USA",77,1180,17,2018
"Fisk University",45,80,1.76414666666667,22,4,21,"TENNESSEE, USA",7,1866,17,2018
"University of Houston Clear Lake",126,78.57,1.09894682539683,23,11,66,"TEXAS, USA",72,1273,17,2018
"Metropolitan Hospital Center",100,60,1.178193,43,10,40,"NEW YORK, USA",30,1144,17,2018
"University of Guam",81,80.25,0.965566666666667,40,22,19,"GUAM, USA",40,949,17,2018
"SUNY Optometry",86,62.79,0.96548023255814,33,9,28,"NEW YORK, USA",25,972,17,2018
"Dickinson College",165,44.85,0.520120606060606,42,11,45,"PENNSYLVANIA, USA",104,1111,17,2018
"Savannah River Ecology Laboratory",66,96.97,1.23449393939394,19,15,42,"SOUTH CAROLINA, USA",25,1122,17,2018
"Bryant University",50,76,1.126084,17,3,21,"RHODE ISLAND, USA",26,797,17,2018
"Alabama State University",66,75.76,0.528027272727273,17,15,32,"ALABAMA, USA",33,674,16,2018
"Samford University",139,64.03,0.474123021582734,11,15,73,"ALABAMA, USA",77,1026,16,2018
"Azusa Pacific University",142,63.38,1.23235774647887,24,20,47,"CALIFORNIA, USA",87,1592,16,2018
"Pepperdine University",124,58.87,0.840862096774194,23,5,40,"CALIFORNIA, USA",77,1282,16,2018
"Trinity College",137,57.66,1.54620729927007,20,8,41,"CONNECTICUT, USA",91,1281,16,2018
"Jacksonville University",44,88.64,1.27093409090909,17,10,20,"FLORIDA, USA",21,841,16,2018
"Columbus State University",96,72.92,1.97103020833333,25,17,42,"GEORGIA, USA",51,1524,16,2018
"Northeastern Illinois University",88,68.18,0.805523863636364,14,8,42,"ILLINOIS, USA",43,772,16,2018
"Drake University",129,68.22,0.797611627906977,17,8,60,"IOWA, USA",74,1027,16,2018
"University of Maryland Eastern Shore",73,80.82,0.816401369863014,16,12,37,"MARYLAND, USA",35,897,16,2018
"Ferris State University",61,72.13,1.02465409836066,7,4,45,"MICHIGAN, USA",21,646,16,2018
"University of Michigan Dearborn",91,48.35,0.918668131868132,14,4,16,"MICHIGAN, USA",64,1046,16,2018
"Iona College",108,54.63,0.446840740740741,19,6,19,"NEW YORK, USA",67,727,16,2018
"University of North Carolina - Asheville",91,62.64,1.11077692307692,28,4,28,"NORTH CAROLINA, USA",45,1807,16,2018
"John Carroll University",108,71.3,0.807925925925926,26,11,44,"OHIO, USA",50,987,16,2018
"University of Central Oklahoma",135,48.15,0.507425925925926,34,10,37,"OKLAHOMA, USA",86,1106,16,2018
"Oregon State University Cascades",44,86.36,0.822870454545455,8,8,27,"OREGON, USA",22,669,16,2018
"Willamette University",103,69.9,1.22804854368932,14,8,30,"OREGON, USA",68,1362,16,2018
"Bloomsburg University of Pennsylvania",101,62.38,1.66344257425743,25,4,36,"PENNSYLVANIA, USA",47,1191,16,2018
"Chatham University",70,74.29,1.40323142857143,15,4,39,"PENNSYLVANIA, USA",29,1630,16,2018
"Kutztown University - Pennsylvania",115,75.65,0.945142608695652,14,5,34,"PENNSYLVANIA, USA",88,815,16,2018
"Texas A&M International University",79,69.62,1.46251772151899,19,6,27,"TEXAS, USA",46,1722,16,2018
"Tampa General Hospital",94,58.51,2.53622659574468,12,6,70,"FLORIDA, USA",16,2943,16,2018
"Metropolitan State University of Denver",147,48.98,0.51070612244898,27,7,48,"COLORADO, USA",85,779,16,2018
"Kean University",92,70.65,0.734754347826087,24,12,38,"NEW JERSEY, USA",49,1135,16,2018
"Keck Graduate Institute",47,80.85,1.23730425531915,13,12,29,"CALIFORNIA, USA",24,807,16,2018
"HealthPartners Institute for Education & Research",42,90.48,1.78682142857143,5,9,34,"MINNESOTA, USA",4,843,16,2018
"Li Ka Shing Center",25,96,1.534936,10,7,13,"CALIFORNIA, USA",19,1099,16,2018
"Ponce Health Sciences University",89,59.55,0.791443820224719,8,29,64,"PUERTO RICO, USA",27,946,16,2018
"University of North Georgia",130,63.85,0.643036923076923,23,20,55,"GEORGIA, USA",72,777,16,2018
"University of West Georgia",160,60,0.93717875,26,8,63,"GEORGIA, USA",106,878,15,2018
"Robert Morris University",89,78.65,1.16154382022472,17,9,48,"ILLINOIS, USA",54,1225,15,2018
"Loyola University New Orleans",118,50.85,0.824422033898305,38,8,34,"LOUISIANA, USA",51,1148,15,2018
"Touro University",134,62.69,0.835129850746269,22,23,81,"NEW YORK, USA",44,1314,15,2018
"Providence College",154,57.14,1.14677467532468,16,12,47,"RHODE ISLAND, USA",112,1307,15,2018
"Rhode Island College",112,55.36,0.754128571428571,9,6,49,"RHODE ISLAND, USA",57,822,15,2018
"Austin Peay State University",84,57.14,1.19794404761905,21,2,19,"TENNESSEE, USA",60,1856,15,2018
"West Texas A&M University",107,61.68,0.573179439252336,11,11,68,"TEXAS, USA",52,949,15,2018
"Washington & Lee University",125,73.6,1.5693352,23,6,35,"VIRGINIA, USA",90,1259,15,2018
"University of Wisconsin Stevens Point",105,71.43,0.732112380952381,17,13,59,"WISCONSIN, USA",50,1105,15,2018
"Detroit Receiving Hospital & University Health Center",35,71.43,2.00007428571429,6,3,24,"MICHIGAN, USA",10,1404,15,2018
"University of Minnesota Morris",81,64.2,0.971314814814815,23,14,30,"MINNESOTA, USA",35,716,15,2018
"SUNY Plattsburgh",68,72.06,1.24290441176471,16,4,19,"NEW YORK, USA",42,773,15,2018
"Denison University",127,56.69,1.36544330708661,18,8,41,"OHIO, USA",76,794,15,2018
"Georgia Gwinnett College",102,60.78,0.637636274509804,19,6,44,"GEORGIA, USA",47,738,15,2018
"Midwestern University - Chicago College of Pharmacy",71,66.2,0.666352112676056,8,7,49,"ILLINOIS, USA",46,645,15,2018
"College of the Holy Cross",174,51.72,0.605917816091954,20,18,38,"MASSACHUSETTS, USA",125,828,15,2018
"Lawrence University",58,68.97,1.73413275862069,24,1,10,"WISCONSIN, USA",34,1101,15,2018
"Rider University",93,56.99,0.519175268817204,16,6,39,"NEW JERSEY, USA",54,777,15,2018
"Inter American University of Puerto Rico-San German",55,52.73,0.686849090909091,16,10,22,"PUERTO RICO, USA",11,818,15,2018
"University of Alaska Southeastern",37,75.68,0.820086486486487,11,6,18,"ALASKA, USA",16,496,14,2018
"Arkansas Tech University",80,57.5,0.63458125,16,5,27,"ARKANSAS, USA",48,838,14,2018
"Sacred Heart University",122,63.93,0.627835245901639,18,9,57,"CONNECTICUT, USA",72,843,14,2018
"Barry University",84,54.76,0.671789285714286,22,4,16,"FLORIDA, USA",44,706,14,2018
"Valdosta State University",83,67.47,0.766275903614458,17,9,37,"GEORGIA, USA",45,699,14,2018
"Indiana University Purdue University Fort Wayne",99,71.72,0.555308080808081,22,3,44,"INDIANA, USA",57,864,14,2018
"Husson University",36,83.33,1.12990277777778,10,7,18,"MAINE, USA",8,684,14,2018
"Bridgewater State University",113,50.44,1.87205663716814,10,4,32,"MASSACHUSETTS, USA",58,874,14,2018
"Salem State University",83,55.42,0.8378,13,12,31,"MASSACHUSETTS, USA",46,680,14,2018
"Calvin University",106,50,2.39274150943396,15,8,25,"MICHIGAN, USA",74,693,14,2018
"Winston-Salem State University",112,66.07,1.11228482142857,13,8,49,"NORTH CAROLINA, USA",68,726,14,2018
"George Fox University",77,53.25,1.3079,6,1,35,"OREGON, USA",41,1110,14,2018
"Lincoln Memorial University",87,78.16,1.5971183908046,19,30,50,"TENNESSEE, USA",33,788,14,2018
"Southern Utah University",56,69.64,0.910305357142857,15,2,24,"UTAH, USA",23,769,14,2018
"Liberty University",76,64.47,1.24512894736842,18,8,34,"VIRGINIA, USA",29,897,14,2018
"Norfolk State University",92,64.13,0.585519565217391,32,11,27,"VIRGINIA, USA",34,625,14,2018
"Shenandoah University",68,69.12,0.629885294117647,5,12,41,"VIRGINIA, USA",39,711,14,2018
"Seattle Pacific University",89,70.79,0.762951685393259,14,5,36,"WASHINGTON, USA",48,749,14,2018
"University of Wisconsin Parkside",52,86.54,0.903978846153846,22,9,16,"WISCONSIN, USA",24,828,14,2018
"BronxCare Health System",108,62.96,0.617966666666667,20,28,49,"NEW YORK, USA",34,796,14,2018
"Christ Hospital - Ohio",63,68.25,3.09291746031746,22,1,35,"OHIO, USA",11,3206,14,2018
"Greater Baltimore Medical Center",60,71.67,1.35970166666667,22,17,22,"MARYLAND, USA",19,1145,14,2018
"Alfred University",55,67.27,0.669449090909091,15,4,15,"NEW YORK, USA",36,655,14,2018
"SUNY Delhi",30,83.33,2.30944,9,5,15,"NEW YORK, USA",12,1172,14,2018
"SUNY Maritime College",90,62.22,0.690855555555556,33,8,33,"NEW YORK, USA",30,672,14,2018
"Skidaway Institute of Oceanography",28,85.71,1.51209642857143,9,6,16,"GEORGIA, USA",13,794,14,2018
"DePauw University",78,51.28,2.03648846153846,18,4,17,"INDIANA, USA",44,896,14,2018
"Albion College",57,61.4,0.812422807017544,7,5,21,"MICHIGAN, USA",31,441,14,2018
"Pitzer College",77,70.13,1.74422077922078,12,6,38,"CALIFORNIA, USA",39,721,14,2018
"Rollins College",108,65.74,0.749681481481482,26,4,31,"FLORIDA, USA",73,740,14,2018
"Florida Polytechnical University",58,77.59,1.19005862068966,16,3,20,"FLORIDA, USA",31,696,14,2018
"California State University Channel Islands",67,65.67,1.00418656716418,9,5,33,"CALIFORNIA, USA",41,520,13,2018
"Saint Mary's College of California",80,46.25,0.71473375,10,2,21,"CALIFORNIA, USA",47,895,13,2018
"Roosevelt University",74,52.7,0.55102027027027,17,5,32,"ILLINOIS, USA",34,568,13,2018
"University of Southern Maine",104,53.85,0.653035576923077,14,7,45,"MAINE, USA",53,605,13,2018
"University of Baltimore",79,59.49,1.54179873417722,15,2,28,"MARYLAND, USA",62,603,13,2018
"Kansas City University of Medicine & Biosciences",39,69.23,1.36931025641026,13,7,21,"MISSOURI, USA",10,694,13,2018
"Montana Technological University",42,85.71,0.840107142857143,14,3,18,"MONTANA, USA",17,815,13,2018
"Keene State College",71,70.42,0.620607042253521,33,6,21,"NEW HAMPSHIRE, USA",24,569,13,2018
"Plymouth State University",50,66,0.767942,10,7,23,"NEW HAMPSHIRE, USA",27,426,13,2018
"Monmouth University",112,45.54,1.78864553571429,17,7,44,"NEW JERSEY, USA",62,929,13,2018
"Marist College",89,71.91,0.709676404494382,14,7,26,"NEW YORK, USA",63,797,13,2018
"Saint John Fisher University",75,77.33,0.650782666666667,9,9,36,"NEW YORK, USA",41,712,13,2018
"University of Portland",106,52.83,0.495537735849057,8,5,37,"OREGON, USA",73,530,13,2018
"Belmont University",64,67.19,0.7898703125,6,3,28,"TENNESSEE, USA",37,494,13,2018
"Sewanee: University of the South",81,55.56,1.16929259259259,5,7,28,"TENNESSEE, USA",52,1413,13,2018
"Virginia State University",59,64.41,1.03407966101695,20,6,21,"VIRGINIA, USA",27,595,13,2018
"Pacific Lutheran University",117,52.99,1.63695555555556,19,6,39,"WASHINGTON, USA",67,1454,13,2018
"Universidad Central del Caribe",49,44.9,0.549059183673469,13,7,27,"PUERTO RICO, USA",6,531,13,2018
"Texas A&M Engineering Experimental Station",34,91.18,0.703205882352941,12,5,20,"TEXAS, USA",12,459,13,2018
"City University of New York (CUNY) Graduate School",40,70,1.11304,8,8,18,"NEW YORK, USA",29,690,13,2018
"New College Florida",47,74.47,0.799736170212766,10,13,20,"FLORIDA, USA",23,397,13,2018
"Connecticut College",94,56.38,0.967756382978723,13,12,29,"CONNECTICUT, USA",70,724,13,2018
"Midwestern University - College of Pharmacy - Glendale",34,94.12,1.34612058823529,2,2,19,"ARIZONA, USA",22,538,13,2018
"Kalamazoo College",68,50,0.853177941176471,10,2,12,"MICHIGAN, USA",45,804,13,2018
"Allegheny College",73,49.32,1.05280410958904,28,5,16,"PENNSYLVANIA, USA",25,1102,13,2018
"Fort Lewis College",53,71.7,1.19118679245283,9,4,27,"COLORADO, USA",24,779,13,2018
"University Arkansas Pine Bluff",22,100,1.39497727272727,9,5,12,"ARKANSAS, USA",7,557,12,2018
"University of La Verne",71,71.83,1.28960985915493,14,9,28,"CALIFORNIA, USA",48,567,12,2018
"University Redlands",54,66.67,0.612931481481481,11,3,17,"CALIFORNIA, USA",28,452,12,2018
"Marian University",49,79.59,1.83594489795918,8,5,29,"INDIANA, USA",19,938,12,2018
"University of Evansville",56,60.71,0.94245,20,6,19,"INDIANA, USA",27,903,12,2018
"Nicholls State University",50,60,0.632726,18,4,20,"LOUISIANA, USA",12,582,12,2018
"Southeastern Louisiana University",72,68.06,0.528502777777778,14,5,31,"LOUISIANA, USA",36,563,12,2018
"Metropolitan State University",35,71.43,1.17001428571429,10,2,13,"MINNESOTA, USA",18,352,12,2018
"Mitchell Hamline School of Law",73,64.38,0.632083561643836,25,2,17,"MINNESOTA, USA",33,579,12,2018
"Millsaps College",51,56.86,1.20495098039216,9,0,21,"MISSISSIPPI, USA",29,557,12,2018
"Wingate University",105,55.24,0.406021904761905,2,8,42,"NORTH CAROLINA, USA",79,708,12,2018
"Millersville University of Pennsylvania",77,50.65,0.582309090909091,9,6,32,"PENNSYLVANIA, USA",40,751,12,2018
"Black Hills State University",30,70,2.01531666666667,19,8,5,"SOUTH DAKOTA, USA",6,1200,12,2018
"University Incarnate Word",80,68.75,0.6809575,6,5,52,"TEXAS, USA",27,756,12,2018
"University of Wisconsin Oshkosh",40,72.5,1.00735,5,2,15,"WISCONSIN, USA",25,471,12,2018
"University of Wisconsin Platteville",38,84.21,0.731602631578947,20,7,10,"WISCONSIN, USA",19,465,12,2018
"New England Baptist Hospital",34,76.47,0.762297058823529,9,4,17,"MASSACHUSETTS, USA",13,394,12,2018
"Saint Francis Hospital & Medical Center",68,61.76,0.728617647058823,6,9,54,"CONNECTICUT, USA",17,398,12,2018
"Saint Olaf College",95,63.16,1.20763157894737,28,12,31,"MINNESOTA, USA",52,606,12,2018
"Gustavus Adolphus College",87,68.97,0.885803448275862,14,7,37,"MINNESOTA, USA",59,456,12,2018
"Spelman College",51,56.86,0.658333333333333,7,5,20,"GEORGIA, USA",27,411,12,2018
"Scripps College",55,69.09,1.02284363636364,11,5,30,"CALIFORNIA, USA",24,628,12,2018
"Hillsdale College",49,63.27,3.04640204081633,16,6,4,"MICHIGAN, USA",32,5753,12,2018
"Long Island University Post",67,58.21,0.698174626865672,12,6,27,"NEW YORK, USA",35,542,12,2018
"Illinois Wesleyan University",63,73.02,0.708185714285714,13,7,27,"INDIANA, USA",35,426,12,2018
"Kent State University Tuscarawas",17,94.12,2.38081176470588,13,6,3,"OHIO, USA",2,809,12,2018
"University of North Carolina at Pembroke",58,65.52,0.582881034482759,11,10,21,"NORTH CAROLINA, USA",28,538,12,2018
"University of the District of Columbia",67,61.19,0.677670149253731,15,7,33,"DISTRICT OF COLUMBIA, USA",36,367,11,2018
"Armstrong Atlantic State University",34,58.82,1.51276764705882,5,5,16,"GEORGIA, USA",11,276,11,2018
"Georgia College & State University",100,52,0.529844,11,3,41,"GEORGIA, USA",44,548,11,2018
"Savannah State University",52,55.77,0.501819230769231,16,9,15,"GEORGIA, USA",22,319,11,2018
"Wheaton College",120,50.83,0.702155833333333,10,4,43,"ILLINOIS, USA",80,441,11,2018
"Morehead State University",65,72.31,0.725155384615385,17,7,27,"KENTUCKY, USA",28,474,11,2018
"Springfield College",59,57.63,1.06833728813559,17,5,26,"MASSACHUSETTS, USA",27,421,11,2018
"Northern Michigan University",75,61.33,0.723966666666667,25,7,23,"MICHIGAN, USA",44,750,11,2018
"Minnesota State University Moorhead",39,71.79,1.99091282051282,10,4,16,"MINNESOTA, USA",20,1576,11,2018
"Winona State University",64,56.25,0.6671328125,12,2,21,"MINNESOTA, USA",23,504,11,2018
"New Mexico Highlands University",33,72.73,1.54535454545455,16,4,10,"NEW MEXICO, USA",12,386,11,2018
"D'Youville University",50,74,1.026642,12,10,28,"NEW YORK, USA",19,483,11,2018
"Ohio Northern University",84,52.38,0.640054761904762,9,6,32,"OHIO, USA",54,1002,11,2018
"Gannon University",73,58.9,0.602861643835616,20,8,22,"PENNSYLVANIA, USA",41,546,11,2018
"Longwood University",81,44.44,1.05693827160494,5,2,31,"VIRGINIA, USA",53,576,11,2018
"Marymount University",47,59.57,1.86209787234043,5,2,14,"VIRGINIA, USA",33,379,11,2018
"Concordia University Wisconsin",63,58.73,0.562923809523809,2,6,31,"WISCONSIN, USA",33,437,11,2018
"University of Wisconsin Whitewater",39,79.49,0.770797435897436,5,1,20,"WISCONSIN, USA",23,355,11,2018
"Jersey Shore University Medical Center",78,60.26,1.26732051282051,4,21,41,"NEW JERSEY, USA",18,458,11,2018
"University of Minnesota Rochester",40,80,0.86853,1,7,30,"MINNESOTA, USA",20,520,11,2018
"Fort Valley State University",51,62.75,0.604382352941176,8,6,29,"GEORGIA, USA",19,288,11,2018
"Methodist Neurological Institute",22,72.73,2.32817727272727,7,1,13,"TEXAS, USA",5,1143,11,2018
"Franklin W. Olin College of Engineering",59,45.76,0.467264406779661,27,3,15,"MASSACHUSETTS, USA",25,266,11,2018
"Rocky Mountain University Health Professions",36,72.22,1.17323611111111,8,9,27,"UTAH, USA",7,492,11,2018
"Susquehanna University",77,57.14,1.16458701298701,22,11,24,"PENNSYLVANIA, USA",32,491,11,2018
"Governors State University",57,68.42,0.590417543859649,11,8,33,"ILLINOIS, USA",25,487,11,2018
"York College NY (CUNY)",52,67.31,0.717973076923077,10,5,20,"NEW YORK, USA",33,396,11,2018
"Grand Canyon University",43,62.79,0.577576744186047,4,3,23,"ARIZONA, USA",23,379,10,2018
"National University (California)",45,66.67,0.486737777777778,13,7,14,"CALIFORNIA, USA",26,488,10,2018
"Eastern Connecticut State University",63,53.97,1.02635555555556,13,4,19,"CONNECTICUT, USA",38,467,10,2018
"School of the Art Institute of Chicago",120,28.33,0.520051666666667,24,2,9,"ILLINOIS, USA",92,479,10,2018
"Earlham College",50,56,1.331408,9,3,20,"INDIANA, USA",29,654,10,2018
"Indiana University Southeast",41,63.41,0.466865853658537,10,5,15,"INDIANA, USA",24,307,10,2018
"Rose Hulman Institute Technology",71,56.34,0.507995774647887,12,2,33,"INDIANA, USA",38,461,10,2018
"Saint Ambrose University",38,68.42,1.29909210526316,3,6,21,"IOWA, USA",22,407,10,2018
"Assumption College",52,36.54,0.497251923076923,3,4,14,"MASSACHUSETTS, USA",41,273,10,2018
"Framingham State College",90,46.67,0.45213,6,4,34,"MASSACHUSETTS, USA",66,608,10,2018
"Massachusetts College Liberal Arts",41,46.34,0.598104878048781,8,2,5,"MASSACHUSETTS, USA",30,242,10,2018
"Worcester State University",42,52.38,0.814640476190476,5,3,17,"MASSACHUSETTS, USA",19,457,10,2018
"Augsburg University",67,47.76,0.546525373134328,12,6,25,"MINNESOTA, USA",32,492,10,2018
"Drew University",65,50.77,1.38075384615385,11,5,10,"NEW JERSEY, USA",50,568,10,2018
"Langston University",29,55.17,0.667103448275862,9,3,15,"OKLAHOMA, USA",6,248,10,2018
"Western Oregon University",49,61.22,0.629665306122449,3,8,24,"OREGON, USA",28,359,10,2018
"Shippensburg University of Pennsylvania",61,52.46,0.500250819672131,7,5,27,"PENNSYLVANIA, USA",31,479,10,2018
"University of Lynchburg",40,65,0.8336625,7,5,18,"VIRGINIA, USA",20,638,10,2018
"University of Wisconsin Stout",56,73.21,0.679953571428571,12,6,30,"WISCONSIN, USA",22,546,10,2018
"Texas A&M University San Antonio",41,53.66,1.23270243902439,4,2,24,"TEXAS, USA",23,731,10,2018
"Nevada State University",21,66.67,0.731033333333333,5,2,8,"NEVADA, USA",4,209,10,2018
"Sophie Davis School of Biomedical Education",15,80,1.00672,9,3,3,"NEW YORK, USA",1,294,10,2018
"University of Houston Victoria",63,58.73,0.550295238095238,10,6,28,"TEXAS, USA",38,366,10,2018
"Farmingdale State College",37,72.97,0.764040540540541,5,4,19,"NEW YORK, USA",25,273,10,2018
"SUNY Old Westbury",46,80.43,0.597606521739131,10,5,17,"NEW YORK, USA",29,440,10,2018
"New Iberia Research Center",21,61.9,0.752361904761905,9,4,12,"LOUISIANA, USA",2,317,10,2018
"California Baptist University",47,76.6,0.482534042553192,17,14,16,"CALIFORNIA, USA",24,334,10,2018
"Center for Ocean Land Atmosphere Studies",26,96.15,1.04836153846154,12,9,10,"VIRGINIA, USA",14,678,10,2018
"Jacksonville State University",29,72.41,1.1083275862069,8,2,14,"ALABAMA, USA",11,239,9,2018
"University Arkansas Monticello",16,68.75,1.86889375,4,1,9,"ARKANSAS, USA",6,1186,9,2018
"Pardee RAND Graduate School",29,68.97,2.01110689655172,6,2,23,"CALIFORNIA, USA",2,588,9,2018
"Samuel Merritt University",22,86.36,1.35919545454545,4,3,9,"CALIFORNIA, USA",14,517,9,2018
"Western Connecticut State University",39,56.41,1.08493076923077,7,6,9,"CONNECTICUT, USA",22,535,9,2018
"Indiana University Northwest",53,69.81,1.41180943396226,20,3,15,"INDIANA, USA",31,248,9,2018
"Fitchburg State College",36,50,0.472047222222222,4,5,15,"MASSACHUSETTS, USA",26,192,9,2018
"Lincoln University - Missouri",25,84,0.559052,6,4,15,"MISSOURI, USA",7,300,9,2018
"University Central Missouri",85,52.94,0.326662352941176,10,9,28,"MISSOURI, USA",35,264,9,2018
"Webster University",48,62.5,1.81769375,3,4,16,"MISSOURI, USA",36,256,9,2018
"Montana State University Billings",28,64.29,0.475182142857143,5,2,15,"MONTANA, USA",14,250,9,2018
"Montana State University Northern",14,92.86,1.39070714285714,6,4,8,"MONTANA, USA",1,418,9,2018
"New Jersey City University",47,72.34,1.24422127659574,6,7,24,"NEW JERSEY, USA",22,481,9,2018
"Ramapo College New Jersey (RCNJ)",66,63.64,1.42915,10,3,18,"NEW JERSEY, USA",42,485,9,2018
"SUNY Potsdam",21,95.24,0.923357142857143,10,0,4,"NEW YORK, USA",0,259,9,2018
"Elizabeth City State University",25,56,1.3048,6,2,16,"NORTH CAROLINA, USA",8,645,9,2018
"Baldwin Wallace University",38,57.89,0.506344736842105,15,4,12,"OHIO, USA",13,246,9,2018
"Capital University",36,58.33,0.951677777777778,10,3,9,"OHIO, USA",20,183,9,2018
"University of Findlay",63,47.62,0.567669841269841,6,6,33,"OHIO, USA",21,207,9,2018
"Slippery Rock University - Pennsylvania",71,47.89,0.739887323943662,11,5,27,"PENNSYLVANIA, USA",33,325,9,2018
"Union University",25,56,0.68538,5,2,8,"TENNESSEE, USA",7,357,9,2018
"Angelo State University",44,63.64,0.667525,3,4,20,"TEXAS, USA",28,216,9,2018
"Milwaukee School Engineering",29,65.52,0.665579310344828,4,2,14,"WISCONSIN, USA",20,314,9,2018
"University of Wisconsin Eau Claire",58,43.1,0.491415517241379,5,5,18,"WISCONSIN, USA",33,195,9,2018
"University of Wisconsin La Crosse",37,67.57,1.19253513513514,8,1,14,"WISCONSIN, USA",22,228,9,2018
"Our Lady Lake Regional Medical Center",28,78.57,0.85865,1,4,20,"LOUISIANA, USA",9,338,9,2018
"Texas A&M University Central Texas",27,70.37,2.13788888888889,5,1,9,"TEXAS, USA",14,472,9,2018
"Indiana University East",27,74.07,0.921359259259259,5,1,12,"INDIANA, USA",19,330,9,2018
